date,Union,FDP,GRUENE,LINKE,SPD,PIRATEN,AfD,firm,date_from,sample_size
2005-09-22,37,8,8,8,35,NA,NA,FG Wahlen,2005-09-20,1345
2005-10-06,39,7,7,9,34,NA,NA,FG Wahlen,2005-10-04,1259
2005-10-13,38,8,7,8,35,NA,NA,FG Wahlen,2005-10-11,1280
2005-10-27,37,9,8,8,35,NA,NA,FG Wahlen,2005-10-25,1269
2005-11-10,36,9,9,9,33,NA,NA,FG Wahlen,2005-11-08,1230
2005-11-24,37,9,9,8,34,NA,NA,FG Wahlen,2005-11-22,1298
2005-12-08,38,9,8,8,34,NA,NA,FG Wahlen,2005-12-06,1237
2006-01-12,39,9,8,8,33,NA,NA,FG Wahlen,2006-01-10,1249
2006-01-26,41,8,7,8,33,NA,NA,FG Wahlen,2006-01-24,1279
2006-02-16,41,8,8,7,32,NA,NA,FG Wahlen,2006-02-14,1260
2006-03-09,41,8,7,8,32,NA,NA,FG Wahlen,2006-03-07,1277
2006-04-06,41,7,8,8,32,NA,NA,FG Wahlen,2006-04-04,1234
2006-04-27,42,8,7,8,31,NA,NA,FG Wahlen,2006-04-25,1194
2006-05-18,41,9,8,7,32,NA,NA,FG Wahlen,2006-05-16,1164
2006-06-15,39,9,8,8,32,NA,NA,FG Wahlen,2006-06-12,1210
2006-07-13,37,11,8,7,31,NA,NA,FG Wahlen,2006-07-11,1207
2006-08-17,36,12,9,7,30,NA,NA,FG Wahlen,2006-08-15,1259
2006-08-31,36,11,9,8,30,NA,NA,FG Wahlen,2006-08-29,1290
2006-09-28,33,13,9,7,31,NA,NA,FG Wahlen,2006-09-26,1288
2006-10-12,33,11,10,8,32,NA,NA,FG Wahlen,2006-10-10,1300
2006-10-26,34,11,10,9,31,NA,NA,FG Wahlen,2006-10-24,1275
2006-11-09,35,11,9,8,31,NA,NA,FG Wahlen,2006-11-07,1303
2006-11-23,36,10,10,8,31,NA,NA,FG Wahlen,2006-11-21,1310
2006-12-14,37,9,10,8,31,NA,NA,FG Wahlen,2006-12-12,1202
2007-01-11,36,10,9,8,32,NA,NA,FG Wahlen,2007-01-09,1269
2007-02-08,37,10,10,8,30,NA,NA,FG Wahlen,2007-02-06,1185
2007-03-01,37,10,9,8,31,NA,NA,FG Wahlen,2007-02-27,1286
2007-03-15,37,9,9,8,32,NA,NA,FG Wahlen,2007-03-13,1235
2007-03-29,37,9,9,9,31,NA,NA,FG Wahlen,2007-03-27,1287
2007-04-19,37,9,10,8,32,NA,NA,FG Wahlen,2007-04-17,1251
2007-05-16,38,8,9,9,32,NA,NA,FG Wahlen,2007-05-14,1260
2007-05-31,39,8,8,9,31,NA,NA,FG Wahlen,2007-05-29,1234
2007-06-21,38,9,8,10,31,NA,NA,FG Wahlen,2007-06-19,1306
2007-07-19,40,9,8,10,29,NA,NA,FG Wahlen,2007-07-17,1174
2007-08-16,40,9,8,9,29,NA,NA,FG Wahlen,2007-08-14,1267
2007-09-13,40,8,9,10,29,NA,NA,FG Wahlen,2007-09-11,1209
2007-10-04,41,7,8,10,30,NA,NA,FG Wahlen,2007-10-01,1329
2007-10-18,40,7,8,9,31,NA,NA,FG Wahlen,2007-10-16,1260
2007-11-08,40,7,8,10,30,NA,NA,FG Wahlen,2007-11-06,1255
2007-11-21,40,6,9,9,31,NA,NA,FG Wahlen,2007-11-19,1303
2007-12-13,41,7,8,9,31,NA,NA,FG Wahlen,2007-12-11,1352
2008-01-04,37,11,9,11,27,NA,NA,Forsa,2008-01-02,1501
2008-01-09,39,9,9,9,30,NA,NA,Infratest dimap,2008-01-07,1500
