date,PP,PSOE,ERC,PNVEAJ,CC,BNG,Cs,VOX,Podemos,EHBildu,PACMA,PDeCAT,Comp,JuntsxCat,Naplus,MP,CUP,Sumar,firm,date_from,sample_size
2011-12-15,44.9,28.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Metroscopia,2011-12-14,1000
2012-01-05,46.4,26.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Metroscopia,2012-01-04,1000
2012-01-06,46.1,28.8,1.1,1.4,0.6,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Celeste-Tel,2012-01-02,1100
2012-01-15,42.7,28,1.4,1.4,0.4,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CIS,2012-01-04,2480
2012-01-20,46.3,27.8,1.1,1.4,0.6,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NC Report,2012-01-16,1000
2012-02-07,44.6,27.4,1.2,1.4,0.6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Celeste-Tel,2012-02-01,1100
2012-02-09,46.2,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Metroscopia,2012-02-08,1003
2012-02-17,45.6,25.6,1.1,1.4,0.6,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NC Report,2012-02-01,4800
2012-02-28,42,28.2,1.2,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GESOP,2012-02-23,1000
2012-03-01,46.3,24.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Metroscopia,2012-02-29,1007
2012-03-07,45.1,26.1,1.2,1.4,0.6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Celeste-Tel,2012-03-01,1100
2012-04-09,41.3,28.9,1.2,1.5,0.7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Celeste-Tel,2012-04-02,1100
2012-04-11,42,24.9,NA,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Simple Lógica,2012-04-01,1026
2012-04-12,38.1,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Metroscopia,2012-04-11,1000
2012-04-17,40.6,29.6,1.7,1.2,0.3,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CIS,2012-04-09,2484
2012-04-25,39.8,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PSOE,2012-04-25,NA
2012-05-08,41.1,28.8,1,1.6,0.7,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Celeste-Tel,2012-05-02,1100
2012-05-10,37.2,25.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Metroscopia,2012-05-09,1001
2012-05-11,39.9,27.1,NA,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Simple Lógica,2012-05-01,1015
2012-05-30,42.7,27.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NC Report,2012-05-21,955
2012-06-07,40.8,29.3,0.9,1.5,0.6,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Celeste-Tel,2012-06-01,1100
2012-06-07,37.1,25.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Metroscopia,2012-06-06,1004
